                         Name           Dual         Slack          Lower          Upper
0     c_e_gas_flow_linear(1)_       0.000000      0.000000  -4.174494e+04   6.581032e+04
1     c_e_gas_flow_linear(2)_      -0.000000      0.000000  -4.174494e+04   6.581032e+04
2     c_e_gas_flow_linear(3)_      -0.000000      0.000000  -2.782998e+04   4.380767e+04
3     c_e_gas_flow_linear(4)_      -0.000000      0.000000  -2.782998e+04   4.380767e+04
4     c_e_gas_flow_linear(5)_      -0.000000      0.000000  -3.211158e+03   3.759952e+03
5     c_e_gas_flow_linear(6)_      -0.000000      0.000000  -2.614146e+02   3.330032e+02
6     c_e_gas_flow_linear(7)_      -0.000000      0.000000  -3.876136e+02   3.199066e+02
7     c_e_gas_flow_linear(8)_      -0.000000      0.000000  -5.916221e+02   4.854285e+02
8     c_e_gas_flow_linear(9)_      -0.000000      0.000000  -1.517998e+03   1.411295e+03
9    c_e_gas_flow_linear(12)_     -43.477782      0.000000  -1.307241e+01   1.287718e+02
10   c_e_gas_flow_linear(13)_    -356.322757      0.000000  -1.595069e+00   1.571247e+01
11   c_e_gas_flow_linear(14)_     -54.347234      0.000000  -1.045793e+01   1.030174e+02
12   c_e_gas_flow_linear(15)_    -445.403396      0.000000  -1.276055e+00   1.256998e+01
13   c_e_gas_flow_linear(16)_    -102.432149      0.000000  -5.548016e+00   5.465158e+01
14   c_e_gas_flow_linear(17)_     -97.554514      0.000000  -5.825411e+00   5.738411e+01
15   c_e_gas_flow_linear(18)_     -12.194307      0.000000  -4.660332e+01   4.590731e+02
16   c_e_gas_flow_linear(19)_     -24.388615      0.000000  -2.330166e+01   2.295366e+02
17   c_e_gas_flow_linear(20)_     -60.971706      0.000000  -9.320638e+00   9.181437e+01
18   c_e_gas_flow_linear(21)_      -0.194384      0.000000  -1.364650e+02   1.667246e+01
19   c_e_gas_flow_linear(23)_   -1836.300611      0.000000  -3.094472e-01   3.923186e+00
20   c_e_gas_flow_linear(24)_    -112.426299      0.000000  -5.054317e+00   2.259390e+01
21     c_l_operational_1(10)_       0.000000     -0.000000 -1.000000e+100   0.000000e+00
22     c_l_operational_1(11)_       0.020000      0.000000  -0.000000e+00   1.882440e+03
